date,meal,food_id,qty,note,source
2025-01-01,pranzo,riso_bianco,150,"pentola di riso con salsiccia e funghi, pranzo di Capodanno; porzione standard assunta",foto
2025-01-01,pranzo,salsiccia,90,,foto
2025-01-01,pranzo,funghi,100,,foto
2025-01-01,cena,uovo_intero,3,"piatti con uova strapazzate e patate arrosto a cubetti",foto
2025-01-01,cena,patate,220,,foto
2025-01-01,spuntino,panettone,100,"fetta di panettone accanto a una ciotola di crema al cacao",foto
2025-01-02,colazione,avena_fiocchi,70,"porridge scuro con fette di banana e pezzi di cioccolato",foto
2025-01-02,colazione,cacao_100,15,,foto
2025-01-02,colazione,banana,1,,foto
2025-01-02,colazione,latte_ps,250,,foto
2025-01-02,pranzo,riso_carnaroli,110,"risotto cremoso ai funghi in pentola; porzione standard assunta",foto
2025-01-02,pranzo,funghi,120,,foto
2025-01-02,cena,patate_dolci,250,"patate dolci arrosto con un contorno di legumi",foto
2025-01-02,cena,lenticchie_secche,70,,foto
2025-01-03,pranzo,pizza_base,1,"pizza con crudo, burrata, olive e basilico",foto
2025-01-03,pranzo,prosciutto_crudo,60,,foto
2025-01-03,pranzo,burrata,100,,foto
2025-01-03,pranzo,olive,30,,foto
2025-01-03,cena,patate_dolci,250,"spicchi di patata dolce con bocconcini di pollo al curry e piselli",foto
2025-01-03,cena,petto_pollo,150,,foto
2025-01-03,cena,piselli_verdi,120,,foto
2025-01-03,spuntino,fagioli_cannellini,200,"cannellini in umido con pomodoro, funghi e basilico",foto
2025-01-03,spuntino,passata_pomodoro,120,,foto
2025-01-04,colazione,avena_fiocchi,60,"porridge con burro d'arachidi accanto a una ciotola di macedonia",foto
2025-01-04,colazione,burro_arachidi_sgrassato,20,,foto
2025-01-04,colazione,frutti_di_bosco,120,,foto
2025-01-04,pranzo,lenticchie_secche,80,"lenticchie in umido con bastoncini di carota e una fetta di pane",foto
2025-01-04,pranzo,carote,120,,foto
2025-01-04,pranzo,pane_integrale,80,,foto
2025-01-04,cena,pomodorini,180,"insalata di pomodori con feta e basilico",foto
2025-01-04,cena,feta,80,,foto
2025-01-04,spuntino,cornetto_crema,1,"cruffin al cioccolato con cappuccino",foto
2025-01-04,spuntino,cappuccino,1,,foto
2025-01-04,spuntino,torta_semplice,110,"fetta di torta red velvet a una festa di compleanno",foto
2025-01-05,pranzo,couscous,90,"couscous giallo con fagioli e spicchi di patata dolce",foto
2025-01-05,pranzo,fagioli_cannellini,150,,foto
2025-01-05,pranzo,patate_dolci,200,,foto
2025-01-05,spuntino,torta_semplice,110,"fetta di torta con cappuccino in un locale con vista sulle montagne",foto
2025-01-05,spuntino,cappuccino,1,,foto
2025-01-06,pranzo,lenticchie_secche,80,"zuppa di lenticchie e verdure con pane a lievitazione naturale",foto
2025-01-06,pranzo,carote,120,,foto
2025-01-06,pranzo,cipolla,60,,foto
2025-01-06,pranzo,pane_integrale,90,,foto
2025-01-06,colazione,pane_integrale,80,"pane casereccio con marmellata rossa dal vasetto",foto
2025-01-06,colazione,marmellata_fragola,30,,foto
2025-01-08,colazione,uovo_intero,3,"uova strapazzate con una fetta di pane scuro",foto
2025-01-08,colazione,pane_segale,80,,foto
2025-01-08,pranzo,petto_pollo,150,"bocconcini di pollo con pomodori a pezzi",foto
2025-01-08,pranzo,pomodorini,150,,foto
2025-01-08,cena,farina_ceci,120,"farinata in teglia di vetro con cipolla rossa",foto
2025-01-08,cena,cipolla,80,,foto
2025-01-08,spuntino,avocado,70,"insalata con avocado e cipolla rossa",foto
2025-01-09,cena,pizza_margherita,1,"pizza con pomodoro, mozzarella, cipolla rossa e prosciutto cotto",foto
2025-01-09,cena,prosciutto_cotto,60,,foto
2025-01-09,cena,cipolla,50,,foto
2025-01-09,spuntino,latte_ps,250,"bicchiere di frullato al cacao",foto
2025-01-09,spuntino,cacao_100,15,,foto
2025-01-09,spuntino,proteine_whey,30,,foto
2025-01-10,pranzo,patate_dolci,250,"patate dolci con pezzi di pollo",foto
2025-01-10,pranzo,petto_pollo,150,,foto
2025-01-10,cena,pasta_uovo,110,"tagliatelle con funghi in crema",foto
2025-01-10,cena,funghi,120,,foto
2025-01-10,spuntino,torta_cioccolato,110,"dolce al cioccolato con panna",foto
2025-01-11,pranzo,pizza_base,1,"pizza tonda con prosciutto crudo, burrata e peperoncino verde",foto
2025-01-11,pranzo,prosciutto_crudo,60,,foto
2025-01-11,pranzo,burrata,100,,foto
2025-01-11,colazione,cinnamon_roll,1,"girella alla cannella con cappuccino",foto
2025-01-11,colazione,cappuccino,1,,foto
2025-01-11,spuntino,frutti_di_bosco,150,"ciotola di macedonia",foto
2025-01-11,spuntino,pane_segale,80,"fetta di pane scuro all'aperto",foto
2025-01-12,pranzo,patatine_fritte,180,"patatine fritte con spezzatino di carne al ristorante",foto
2025-01-12,pranzo,carne_macinata_manzo,160,,foto
2025-01-12,spuntino,latte_ps,250,"frullato in un rifugio con la finestra innevata",foto
2025-01-12,spuntino,torta_semplice,110,"fetta di dolce nel piatto bianco",foto
2025-01-13,colazione,panettone,90,"fetta di panettone con il caffè",foto
2025-01-13,colazione,caffe_espresso,1,,foto
2025-01-13,pranzo,couscous,90,"couscous con pezzi di carne",foto
2025-01-13,pranzo,carne_macinata_manzo,140,,foto
2025-01-13,spuntino,pane_integrale,70,"pane tostato con marmellata",foto
2025-01-13,spuntino,marmellata_fragola,25,,foto
2025-01-14,pranzo,pizza_base,1,"fette di pizza con verdure scure e patate",foto
2025-01-14,cena,salsiccia,110,"salsicce con patate in padella",foto
2025-01-14,cena,patate,220,,foto
2025-01-14,spuntino,mango,150,"contenitore con cubetti di frutta gialla",foto
2025-01-15,pranzo,pizza_base,1,"pizza bianca con patate, cime di rapa e mozzarella",foto
2025-01-15,pranzo,patate,150,,foto
2025-01-15,pranzo,broccoli,150,"le cime di rapa sono registrate come broccoli, l'alimento piu' vicino in tabella",foto
2025-01-15,pranzo,mozzarella,80,,foto
2025-01-16,pranzo,pizza_base,1,"pizza con bresaola, rucola e grana",foto
2025-01-16,pranzo,bresaola,60,,foto
2025-01-16,pranzo,rucola,40,,foto
2025-01-16,pranzo,grana_padano,25,,foto
2025-01-16,spuntino,ricotta_vaccina,120,"ricotta con frutti di bosco e caffe'",foto
2025-01-16,spuntino,frutti_di_bosco,100,,foto
2025-01-16,spuntino,caffe_espresso,1,,foto
2025-01-17,cena,carne_macinata_manzo,180,"piatto con spezzatino e funghi a una cena di gruppo",foto
2025-01-17,cena,funghi,120,,foto
2025-01-18,pranzo,patate_dolci,250,"patate dolci con crema verde di avocado e fagioli neri con salsa piccante",foto
2025-01-18,pranzo,avocado,70,,foto
2025-01-18,pranzo,fagioli_neri_scatola,200,,foto
2025-01-18,cena,lenticchie_secche,80,"lenticchie in padella con funghi",foto
2025-01-18,cena,funghi,120,,foto
2025-01-18,spuntino,latte_ps,250,"bicchiere di frullato al cioccolato con una frittella",foto
2025-01-18,spuntino,cacao_100,15,,foto
2025-01-18,spuntino,cornetto_crema,1,,foto
2025-01-19,pranzo,ceci_scatola,250,"ciotola con ceci, mais, cubetti di tofu e chicchi di melagrana",foto
2025-01-19,pranzo,mais_dolce,100,,foto
2025-01-19,pranzo,tofu,120,,foto
2025-01-19,pranzo,melagrana,60,,foto
2025-01-19,spuntino,succo_frutta,250,"bicchiere di succo d'arancia",foto
2025-01-20,colazione,uovo_intero,3,"uova strapazzate con pane scuro e verdura verde",foto
2025-01-20,colazione,pane_segale,80,,foto
2025-01-20,colazione,broccoli,150,,foto
2025-01-20,pranzo,lenticchie_secche,80,"lenticchie con zucca arrosto",foto
2025-01-20,pranzo,zucca,200,,foto
2025-01-20,cena,farina_ceci,120,"farinata con un morso tolto",foto
2025-01-21,pranzo,patate_dolci,250,"patata dolce con lenticchie e una fetta di torta salata di ceci",foto
2025-01-21,pranzo,lenticchie_secche,80,,foto
2025-01-21,pranzo,farina_ceci,100,,foto
2025-01-21,cena,zucca,200,"cereale arancione con lenticchie nel piatto",foto
2025-01-21,cena,lenticchie_secche,70,,foto
2025-01-22,pranzo,patate_dolci,250,"patate dolci con farro e funghi",foto
2025-01-22,pranzo,farro_perlato,90,,foto
2025-01-22,pranzo,funghi,120,,foto
2025-01-22,colazione,yogurt_greco_0,170,"yogurt con mango e semi",foto
2025-01-22,colazione,mango,150,,foto
2025-01-23,cena,pizza_margherita,1,"pizza con mozzarella, cipolla rossa e pomodoro",foto
